design_label,metric,replicate,sample_seed,n_models,n_dyads,mean_similarity_rate,mas_compatibility_rate,identified_compatibility_rate,similarity_minus_mas,similarity_minus_identified,similarity_error,mas_error,identified_error,similarity_minus_mas_error,similarity_minus_identified_error
1A,mas_compatible,1,1001,60,3540,0.756917,0.00904,1.0,0.747878,-0.243083,-0.000449,-0.001431,0.0,0.000983,-0.000449
1A,mas_compatible,2,1002,60,3540,0.761478,0.00904,1.0,0.752439,-0.238522,0.004112,-0.001431,0.0,0.005544,0.004112
1A,mas_compatible,3,1003,60,3540,0.756831,0.00904,1.0,0.747792,-0.243169,-0.000535,-0.001431,0.0,0.000897,-0.000535
1A,mas_compatible,4,1004,60,3540,0.768052,0.00791,1.0,0.760143,-0.231948,0.010686,-0.002561,0.0,0.013248,0.010686
1A,mas_compatible,5,1005,60,3540,0.758701,0.010169,1.0,0.748532,-0.241299,0.001335,-0.000302,0.0,0.001637,0.001335
1A,mas_compatible,6,1006,60,3540,0.76294,0.010169,1.0,0.75277,-0.23706,0.005574,-0.000302,0.0,0.005875,0.005574
1A,mas_compatible,7,1007,60,3540,0.759935,0.012429,1.0,0.747506,-0.240065,0.002569,0.001958,0.0,0.000611,0.002569
1A,mas_compatible,8,1008,60,3540,0.759547,0.00678,1.0,0.752768,-0.240453,0.002181,-0.003691,0.0,0.005873,0.002181
1A,mas_compatible,9,1009,60,3540,0.762802,0.011299,1.0,0.751503,-0.237198,0.005436,0.000828,0.0,0.004608,0.005436
1A,mas_compatible,10,1010,60,3540,0.757503,0.00904,1.0,0.748463,-0.242497,0.000137,-0.001431,0.0,0.001568,0.000137
1A,mas_compatible,11,1011,60,3540,0.766042,0.012429,1.0,0.753613,-0.233958,0.008676,0.001958,0.0,0.006718,0.008676
1A,mas_compatible,12,1012,60,3540,0.760018,0.014689,1.0,0.745328,-0.239982,0.002652,0.004218,0.0,-0.001567,0.002652
1A,mas_compatible,13,1013,60,3540,0.761598,0.010169,1.0,0.751428,-0.238402,0.004232,-0.000302,0.0,0.004533,0.004232
1A,mas_compatible,14,1014,60,3540,0.760334,0.014689,1.0,0.745644,-0.239666,0.002968,0.004218,0.0,-0.001251,0.002968
1A,mas_compatible,15,1015,60,3540,0.765087,0.011299,1.0,0.753788,-0.234913,0.007721,0.000828,0.0,0.006893,0.007721
1A,mas_compatible,16,1016,60,3540,0.760638,0.00678,1.0,0.753859,-0.239362,0.003272,-0.003691,0.0,0.006964,0.003272
1A,mas_compatible,17,1017,60,3540,0.76435,0.00678,1.0,0.757571,-0.23565,0.006984,-0.003691,0.0,0.010676,0.006984
1A,mas_compatible,18,1018,60,3540,0.762188,0.00678,1.0,0.755408,-0.237812,0.004822,-0.003691,0.0,0.008513,0.004822
1A,mas_compatible,19,1019,60,3540,0.758684,0.00791,1.0,0.750774,-0.241316,0.001318,-0.002561,0.0,0.003879,0.001318
1A,mas_compatible,20,1020,60,3540,0.765379,0.011299,1.0,0.754079,-0.234621,0.008013,0.000828,0.0,0.007184,0.008013
1A,mas_compatible,21,1021,60,3540,0.761979,0.014689,1.0,0.74729,-0.238021,0.004613,0.004218,0.0,0.000395,0.004613
