design_label,metric,replicate,sample_seed,n_models,n_dyads,mean_similarity_rate,mas_compatibility_rate,identified_compatibility_rate,similarity_minus_mas,similarity_minus_identified,similarity_error,mas_error,identified_error,similarity_minus_mas_error,similarity_minus_identified_error
1B,identified_compatible,1,1001,60,3540,0.67776,1.0,0.107345,-0.32224,0.570416,-0.000485,0.0,-0.002603,-0.000485,0.002119
1B,identified_compatible,2,1002,60,3540,0.683617,1.0,0.107345,-0.316383,0.576272,0.005372,0.0,-0.002603,0.005372,0.007975
1B,identified_compatible,3,1003,60,3540,0.677747,1.0,0.107345,-0.322253,0.570402,-0.000498,0.0,-0.002603,-0.000498,0.002105
1B,identified_compatible,4,1004,60,3540,0.691944,1.0,0.107345,-0.308056,0.584599,0.013699,0.0,-0.002603,0.013699,0.016302
1B,identified_compatible,5,1005,60,3540,0.680112,1.0,0.107345,-0.319888,0.572768,0.001867,0.0,-0.002603,0.001867,0.004471
1B,identified_compatible,6,1006,60,3540,0.685419,1.0,0.107345,-0.314581,0.578074,0.007174,0.0,-0.002603,0.007174,0.009777
1B,identified_compatible,7,1007,60,3540,0.68167,1.0,0.107345,-0.31833,0.574325,0.003425,0.0,-0.002603,0.003425,0.006028
1B,identified_compatible,8,1008,60,3540,0.68114,1.0,0.107345,-0.31886,0.573795,0.002895,0.0,-0.002603,0.002895,0.005498
1B,identified_compatible,9,1009,60,3540,0.685456,1.0,0.107345,-0.314544,0.578112,0.007211,0.0,-0.002603,0.007211,0.009815
1B,identified_compatible,10,1010,60,3540,0.678611,1.0,0.107345,-0.321389,0.571267,0.000366,0.0,-0.002603,0.000366,0.00297
1B,identified_compatible,11,1011,60,3540,0.68948,1.0,0.107345,-0.31052,0.582135,0.011235,0.0,-0.002603,0.011235,0.013838
1B,identified_compatible,12,1012,60,3540,0.681805,1.0,0.107345,-0.318195,0.574461,0.00356,0.0,-0.002603,0.00356,0.006164
1B,identified_compatible,13,1013,60,3540,0.684084,1.0,0.107345,-0.315916,0.57674,0.005839,0.0,-0.002603,0.005839,0.008443
1B,identified_compatible,14,1014,60,3540,0.682341,1.0,0.107345,-0.317659,0.574996,0.004096,0.0,-0.002603,0.004096,0.006699
1B,identified_compatible,15,1015,60,3540,0.688128,1.0,0.107345,-0.311872,0.580784,0.009883,0.0,-0.002603,0.009883,0.012487
1B,identified_compatible,16,1016,60,3540,0.682722,1.0,0.107345,-0.317278,0.575378,0.004477,0.0,-0.002603,0.004477,0.007081
1B,identified_compatible,17,1017,60,3540,0.687273,1.0,0.107345,-0.312727,0.579928,0.009028,0.0,-0.002603,0.009028,0.011631
1B,identified_compatible,18,1018,60,3540,0.684542,1.0,0.107345,-0.315458,0.577198,0.006297,0.0,-0.002603,0.006297,0.008901
1B,identified_compatible,19,1019,60,3540,0.680216,1.0,0.107345,-0.319784,0.572872,0.001971,0.0,-0.002603,0.001971,0.004575
