replicate,sample_seed,ghost_found,clusters,noise_models,ghost_precision,ghost_recall,exact_recovery,within_ghost_mas,ghost_to_reference_mas,ghost_to_mainstream_mas,reference_to_ghost_mas,mainstream_to_ghost_mas,within_mainstream_mas,within_ghost_mas_comparable_dyads,within_ghost_mas_unavailable_dyads,within_ghost_identified,within_ghost_identified_comparable_dyads,within_ghost_identified_unavailable_dyads,ghost_to_reference_mas_comparable_dyads,ghost_to_reference_mas_unavailable_dyads,ghost_to_mainstream_mas_comparable_dyads,ghost_to_mainstream_mas_unavailable_dyads,reference_to_ghost_mas_comparable_dyads,reference_to_ghost_mas_unavailable_dyads,mainstream_to_ghost_mas_comparable_dyads,mainstream_to_ghost_mas_unavailable_dyads,within_mainstream_mas_comparable_dyads,within_mainstream_mas_unavailable_dyads,analysis_role,sensitivity_axis,eps,min_samples,family_counts,mainstream_family_count,ghost_family_count,heterogeneous_family_count,seeded_family_total,heterogeneous_to_seeded_ratio,selected_primary_cluster_id,selected_primary_cluster_family_composition,primary_cluster_family_composition,selected_primary_cluster_size,selected_primary_cluster_ghost_count,selected_primary_cluster_mainstream_count,selected_primary_cluster_heterogeneous_count,selected_primary_cluster_false_positive_count,primary_cluster_false_positive_count,dbscan_unassigned_noise_count,dbscan_unassigned_noise_family_composition,dbscan_unassigned_mainstream_count,dbscan_unassigned_ghost_count,dbscan_unassigned_heterogeneous_count,clustered_heterogeneous_count,gate_passed,mainstream_cluster_contains_reference,mainstream_cluster_size
1,1001,True,3,0,0.857143,1.0,False,0.857143,0.0,0.0,0.0,0.0,1.0,182,0,1.0,182,0,420,0,420,0,420,0,420,0,870,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 2, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 2, ""mainstream"": 0}",14,12,0,2,2,2,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,30
2,1002,True,3,2,0.923077,1.0,False,1.0,0.0,0.0,0.0,0.0,0.935484,156,0,1.0,156,0,403,0,403,0,403,0,403,0,930,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 1, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 1, ""mainstream"": 0}",13,12,0,1,1,1,2,"{""ghost"": 0, ""heterogeneous"": 2, ""mainstream"": 0}",0,0,2,156,True,True,31
3,1003,True,3,0,1.0,1.0,True,1.0,0.0,0.0,0.0,0.0,1.0,132,0,1.0,132,0,372,0,372,0,372,0,372,0,930,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}",12,12,0,0,0,0,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,31
4,1004,True,3,0,0.923077,1.0,False,1.0,0.0,0.0,0.0,0.0,1.0,156,0,1.0,156,0,390,0,390,0,390,0,390,0,870,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 1, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 1, ""mainstream"": 0}",13,12,0,1,1,1,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,30
5,1005,True,4,0,0.923077,1.0,False,0.846154,0.0,0.0,0.0,0.0,1.0,156,0,1.0,156,0,403,0,403,0,403,0,403,0,930,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 1, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 1, ""mainstream"": 0}",13,12,0,1,1,1,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,31
6,1006,True,3,0,1.0,1.0,True,1.0,0.0,0.0,0.0,0.0,1.0,132,0,1.0,132,0,360,0,360,0,360,0,360,0,870,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}",12,12,0,0,0,0,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,30
7,1007,True,3,0,1.0,1.0,True,1.0,0.0,0.0,0.0,0.0,1.0,132,0,1.0,132,0,360,0,360,0,360,0,360,0,870,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}",12,12,0,0,0,0,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,30
8,1008,True,3,0,1.0,1.0,True,1.0,0.0,0.0,0.0,0.0,1.0,132,0,1.0,132,0,360,0,360,0,360,0,360,0,870,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}",12,12,0,0,0,0,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,30
9,1009,True,3,0,0.857143,1.0,False,0.725275,0.071429,0.071429,0.071429,0.071429,1.0,182,0,1.0,182,0,420,0,420,0,420,0,420,0,870,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 2, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 2, ""mainstream"": 0}",14,12,0,2,2,2,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,30
10,1010,True,3,0,1.0,1.0,True,1.0,0.0,0.0,0.0,0.0,1.0,132,0,1.0,132,0,360,0,360,0,360,0,360,0,870,0,primary_eps_reliability,eps,0.5,4,"{""ghost"": 12, ""heterogeneous"": 158, ""mainstream"": 30}",30,12,158,42,3.761905,Cluster_02,"{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}","{""ghost"": 12, ""heterogeneous"": 0, ""mainstream"": 0}",12,12,0,0,0,0,0,"{""ghost"": 0, ""heterogeneous"": 0, ""mainstream"": 0}",0,0,0,158,True,True,30
